func_sigla,func_desc,func_nivel
CDS-1,SECRETARIO DE ESTADO,
1181,DIRETOR PRESIDENTE,
DIRE01,DIRETOR-GERENTE,
DIRE01,DIRETOR DE CONTROLADORIA,
DIRE02,DIRETOR-GERENTE,
1230,DIRETOR PRESIDENTE,
DIRE01,DIRETOR DE PESSOAS E LOGÍSTICA - DILOG,
PRES,PRESIDENTE DA CIA DE DESENV. DO ESTADO DO AM - CIAMA,
VIC,VICE-GOVERNADOR DO ESTADO,NA
VICE-G,VICE-GOVERNADOR DO ESTADO,
DIRE01,DIRETORA DE SOLUÇÕES EM EMPRÉSTIMOS E FINANCIAMENTOS,
DIRE01,DIRETORA-GERENTE,
CGE,DIRETOR ADJUNTO,1
DIRE01,DIRETOR DE RECUPERAÇÃO DE CRÉDITOS DE PESSOAS FÍSICAS - DIRE,
DIR,DIRETORA GERAL,NA
INEMA,"DIRETORA GERAL, RESPONDENDO",NA
SEC,SECRETÁRIA EXECUTIVA ADJUNTA DE COMPRAS E CONTRATOS DA SEAD,
DIRE01,DIR. ADMINIST. FINANCEIRO E DE FISCALIZAÇÃO,
CAS-2,DIR. ADM. E FINANCEIRO,
DIRE01,DIRETOR DE RELAÇÕES COM O MERCADO E COMUNIDADE,
DIRI01,DIRETOR DE OPERAÇÃO E EXPANSÃO,
7,SECRETARIO CHEFE CASA CIVIL,
CHE,CHEFE DA DEFESA CIVIL,NA
DIRE01,DIRETOR DE MARKETING E COMUNICAÇÃO,
SECRET,SECRETARIO EXECUTIVO DE ARTICULACAO NACIONAL,NA
SEC,SECRETÁRIO EXECUTIVO DA SPF,
SUBCOM,SUBCOMANDANTE-GERAL DO CORPO DE BOMBEIROS MILITAR,
VICE01,VICE-PRESIDENTE DE SERVIÇOS,
DIRE01,DIRETOR DE CONTEÚDO E PROGRAMAÇÃO,
DIRE02,DIRETOR DE CONTEÚDO E PROGRAMAÇÃO,
SEC,SECRETÁRIO DE ESTADO  DE CULTURA,
SEC,SECRETÁRIO EXTRAORDINÁRIO ADJUNTO DA SEMA,
SEC,SEC. EXEC. ADJ. DE ATENÇÃO ESPECIALIZ. DA CAPITAL DA SUSAM,
1127,DIRETOR PRESIDENTE,
SEC,SECRETARIO EXECUTIVO DE ARTICULACAO NACIONAL,NA
DIRE01,DIR. DE OPERAÇÕES,
DIR,DIRETOR-PRESIDENTE DA SUPERINTENDÊNCIA ESTADUAL DE HABITAÇÃO,
PTCE,PRESIDENTE DO TRIBUNAL DE CONTAS DO ESTADO,
COMAND,COMANDANTE-GERAL DA PMSC,
BASICA,COMANDANTE-GERAL DA POLÍCIA MILITAR,
DIRE01,DIRETOR DE OPERAÇÃO E MANUTENÇÃO,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DA SERIRA,
784,COMANDANTE GERAL PM,
DIRE02,DIRETOR EXECUTIVO DE ASSUNTOS CORPORATIVOS,
DIRI03,DIRETOR,
DIRE01,"DIRETOR DE SUPRIMENTOS, INFRAESTRUTURA E PATRIMÔNIO",
DIRE02,"DIRETOR DE SUPRIMENTOS, INFRAESTRUTURA E PATRIMÔNIO",
DIRE04,DIRETOR,
DIRE06,VICE-PRESIDENTE,
DIRI03,VICE-PRESIDENTE,
PREE01,DIRETOR ADMINISTRATIVO,
SEC,SECR. EXE. DO ORÇAMENTO DEMOCRÁTICO ESTADUAL,NA
BASICA,DIRETOR-GERAL DE ADMINISTRAÇÃO PENITENCIÁRIA,
NES,COMANDANTE,46
NES,SUBDEFENSOR PUB GERAL DA UNIAO,20
DIRE02,DIRETOR DE MEIOS DE PAGAMENTO,
DIRE02,DIRETOR GERENTE,
DIRE03,DIRETOR DE MEIOS DE PAGAMENTO,
DIRE04,DIRETOR DE MEIOS DE PAGAMENTOS E SERVIÇOS,
PREE01,ADMINISTRADOR,
1157,DIRETOR PRESIDENTE,
DIRE01,DIRETOR DE CONTADORIA,
DIRE02,DIRETOR DE CONTADORIA,
DIRE03,DIRETOR DE CONTADORIA,
DIRE01,DIRETOR VICE-PRESIDENTE EXECUTIVO,
DIRE02,DIRETOR EXECUTIVO DE FINANÇAS E RELAÇÕES COM INVESTIDORES,
DIRE01,DIRETOR DE GESTÃO DE PESSOAS,
DIR,DIRETOR EXECUTIVO,
DIRI05,VICE PRESIDENTE,
DIRE01,DIRETOR DE OPERAÇÕES E LOGISTICA,
DIRE02,DIRETOR DE OPERAÇÕES E LOGISTICA,
DIRE01,DIRETOR DE PLANEJAMENTO E RELAÇÕES INSTITUCIONAIS,
DIRE01,DIRETOR DE SERVIÇOS E SUPORTE JURÍDICO,
DIRE01,DIRETOR DE FINANÇAS E ADMINISTRAÇÃO,
DAS,ASSESSOR ESPECIAL,1016
DIR,DIRETOR GERAL,NA
SEC,SEC. EXEC. ADJ. DE ATENÇÃO ESPECIALIZ. DO INTERIOR DA SUSAM,
DIRI01,DIRETOR DE GESTÃO,
CHEFE,CHEFE DO ESCRITÓRIO DE REPRESENTAÇÃO DO GOVERNO EM SÃO PAULO,
SEC,SECRETÁRIO EXECUTIVO DA SRMM,
DIRE01,DIRETOR DE OPERAÇÕES - DIOPE,
DIRE02,DIRETOR DE OPERAÇÕES - DIOPE,
DIR,DIRETORA GERAL,
SEC,SECRETÁRIA EXECUTIVA DE ADMINISTRAÇÃO DA CASA CIVIL,
SEC,SECRETÁRIA DE ESTADO DE JUSTIÇA DIREITOS HUMANOS E CIDADANIA,
SEC,SECRETÁRIA DE ESTADO EXTRAORDINÁRIA,
DIR,DIRETOR GERAL,
SEC,SECR. EXECUTIVO DA ADMINISTRACAO DE SUPRIMENTOS E LOGISTICA,NA
PREE01,DIRETOR-PRESIDENTE DA COMPANHIA DOCAS DO RIO GRANDE DO NORTE,
CAS-1,DIRETOR SUPERINTENDENTE,
DELEGA,DELEGADO-GERAL DE POLÍCIA CIVIL,
SUPERI,SUPERINTENDENTE DE INTEGRAÇÃO DO EST DE RONDÔNIA EM BRASÍLIA,
SUPERI,SUPERINT EST DE GESTÃO GASTOS PÚBLICOS ADMINISTRATIVOS,
DIRE01,DIRETORA FINANCEIRA E DE RELAÇÃO COM OS INVESTIDORES,
SECRET,SECRETÁRIO-CHEFE DA CASA CIVIL,
CDSI-2,DIR. PRESIDENTE,
DIRE01,DIR. TÉCNICO E COMERCIAL,
DIRE02,DIRETOR ADMINISTRATIVO E FINANCEIRO DA COMPANHIA DOCAS DO RI,
DIRE01,DIRETOR TÉCNICO-OPERACIONAL,
CHEFE,CHEFE DO ESTADO MAIOR GERAL,
COMAND,COMANDANTE-GERAL DA POLÍCIA MILITAR,
960,DIRETOR GERAL,
DIRE01,DIRETOR DE GOVERNO,
DIRE02,DIRETOR DE GOVERNO,
DIRE03,VICE-PRESIDENTE CORPORATIVO,
DIRE04,VICE-PRESIDENTE CORPORATIVO,
DIRE01,DIRETOR ADMINISTRAÇÃO E GESTÃO FINANCEIRA,
DIRE01,"DIRETOR DE FINANÇAS, RI E GESTÃO DAS PARTICIPAÇÕES",
DIRE01,DIRETOR DE MERCADOS DE CAPITAIS E INFRAESTRUTURA,
DIRE02,DIRETOR DE ESTUDOS DE ENERGIA ELÉTRICA,
DIRE03,DIRETOR DE ESTUDOS DE ENERGIA ELÉTRICA,
DIRE01,DIRETOR DE ADMINISTRAÇÃO E INFRAESTRUTURA,
CHEFE,CHEFE DA CASA CIVIL,
DIRE01,DIRETOR DE JORNALISMO,
DIRE02,DIRETOR DE JORNALISMO,
SEC,SECRETÁRIO EXECUTIVO DE CIÊNCIA E TECNOLÓGIA DA SEPLANCTI,
DIRE01,DIR. DE REL. INST. E DESENVOLVIMENTO,
PREE04,DIRETOR PRESIDENTE,
DIRE01,DIR. DE PESSOAS E LOGÍSTICA,
VICE01,VICE-PRESIDENTE DE TECNOLOGIA DA INFORMAÇÃO,
DIRE01,DIRETOR DE CONTROLADORIA E FINANÇAS,
POL,COMANDANTE GERAL DA POLÍCIA MILITAR DO ESTADO DA PARAÍBA,
CAS-2,COORD. ADMINISTRATIVO,
CAS-2,CORRDENADOR ADMINISTRATIVO,
DAS,SUBCHEFE EXECUTIVO ADJUNTO,1016
1217,DIRETOR GERAL,
DIRE01,DIRETOR DE SOLUÇÕES EMPRESARIAIS,
DIRE02,DIRETOR DE SOLUÇÕES EMPRESARIAIS,
DIRE01,DIR. GESTÃO DE PROCESSOS E TECNOLOGIA DA INFORMAÇÃO,
1895,DIRETOR PRESIDENTE,
DIRE01,DIRETOR DE CONCESSÕES E PRIVATIZAÇÕES,
PRO,PROCURADOR GERAL DO ESTADO,NA
DIRE01,VICE-PRESIDENTE DE TECNOLOGIA,
DIRE02,VICE-PRESIDENTE DE TECNOLOGIA,
PREE02,DIRETOR,
REITOR,REITOR,
DIR,DIRETOR-PRESIDENTE DA PROCESSAMENTO DE DADOS DO AM S A,
DIRE01,DIRETOR DE GESTÃO COMERCIAL E DE DESENVOLVIMENTO,
DIRE02,DIRETOR DE GESTÃO,
SESAB,SECRETÁRIO DE ESTADO,
DAS,ADJUNTO DO ADVOGADO GERAL,1026
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DA SEINFRA,
SEC,SECR. EXE. DO EMPREENDEDORISMO,NA
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DE POLÍT. INTERN. DA SEPLANCTI,
SETUR,SECRETÁRIO DE ESTADO,
PREE01,DIRETOR-PRESISENTE,
PREE01,PRESIDEBNTE,
DIRI01,DIRETOR DE OPERAÇÃO,
DIRE01,DIRETOR DE CRÉDITO,
DIRE02,DIRETOR DE CRÉDITO,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO,
COMAND,COMANDANTE-GERAL DO CORPO DE BOMBEIROS MILITAR,
DIRE01,DIRETOR EXECUTIVO  DE EXPLORAÇÃO E PRODUÇÃO,
DEP-10,DIR. PRESIDENTE,
SEC,SECRETARIO EXECUTIVO DE ASSUNTOS INTERNACIONAIS,NA
NES,CARGO ESP.TRANS.GOVERNAMENTAL,55
SEC,SECRETÁRIO EXECUTIVO DA SEINFRA,
DIRE01,DIRETOR DE MERCADO DE CAPITAIS E INFRAESTRUTURA,
DIRE01,DIR. FINANCEIRO,
DIRI02,DIRETOR DE SERVIÇOS,
PREE01,DIRETOR SUPERINTENDENTE,
PREE02,DIR. SUPERINTENDENTE,
DIRE01,DIR. TÉCNICO-OPERACIONAL,
DIRI01,DIRETOR DE INFRAESTRUTURA GEOCIENTÍFICA,
DIRE01,DIRETOR EXECUTIVO DE REDE DE POSTOS E VAREJO,
DIRI01,VICE-PRESIDENTE,
DIRE01,DIRETOR TÉCNICO-COMERCIAL,
NDAS-2,VICE-REITOR,
DIRE01,DIRETOR DE DESENVOLVIMENTO E SERVIÇO - DDS,
C-2,DIRETORIA DE ASSISTENCIA À SAÚDE DO SERVIDOR,
PREE02,PRESIDENCIA DOS,
PREI01,PRESIDENCIA DOS,
CDS-2,SECRETÁRIO EXECUTIVO DE ASSISTÊNCIA SOCIAL,
SEC,SECRETARIO EXECUTIVO DE ASSISTENCIA SOCIAL,NA
PREE01,PRESIDENTE DA CDRJ,
DIR,"DIRETOR-PRES. DA  SUP. EST. DE NAVEGAÇÃO, PORTOS E HIDROVIAS",
DIRE01,DIRETOR CORPORATE AND INVESTMENT BANKING,
DIRE02,DIRETOR CORPORATE AND INVESTMENT BANKING,
SECRET,SECRETÁRIO ADJUNTO,
SEC,SECRETÁRIO DE ESTADO DE SAÚDE,
VICE01,VICE-PRESIDENTE DO NEGÓCIO POSTAL,
CDS-3,DIRETORIA DE PLANEJAMENTO AGRÍCOLA E REGULARIZAÇÃO FUNDIÁRIA,
DAS,PRESIDENTE DE FUNDACAO,1016
DIR,DIRETOR-PRESIDENTE DA FUNDAÇÃO ALFREDO DA MATA - FUAM,
CDS-3,DIRETOR DE ADMINISTRAÇÃO E FINANÇAS,
DIRE01,DIRETOR JURÍDICO E DE ASSUNTOS REGULATÓRIOS,
DAS,SUBSECRETARIO,1016
CONTRO,CONTROLADOR-GERAL,
DIRE01,DIRETOR TÉCNICO E COMERCIAL DA CODERN,
DIRE02,DIRETOR TÉCNICO E COMERCIAL DA CODERN,
SEC,SECRETÁRIO EXECUTIVO DE PARCERIAS PÚBLICO-PRIVADAS,NA
DIRE01,DIRETORIA DE INOVAÇÃO,
DIRE02,DIRETOR DE INOVAÇÃO,
CHEFE,CHEFE ADJUNTO CONSULTORIA TÉCNICO-LEGISLATIVA DA CASA CIVIL,
DIRE01,DIRETOR TÉCNICO E COMERCIAL,
VICE01,VICE-PRESIDENTE COMERCIAL,
SECRET,SECRETÁRIO DE ESTADO ADJUNTO,
SEC,SECRETÁRIO EXECUTIVO DA PESCA,NA
DS-2,DIR. EXEC. FICALIZAÇÃO E CONTROLE,
DIRE01,DIRETOR DE RELAÇÕES COM O MERCADO E PLANEJAMENTO,
CDS-2,SECRETARIO EXECUTIVO DA ADM DE SUPRIMENTOS E LOGÍSTICA,
SEC,SECR. EXE. DA GESTÃO PEDAGÓGICA,NA
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DE GESTÃO DA SEDUC,
SECRET,"SECRETÁRIO DE ESTADO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO",
CDS-2,SECRETARIO DE ESTADO,
SEC,SEC. EXECUTIVO ADJUNTO DE PESCA E AQÜICULTURA DA SEPROR,
DAS,INVENTARIANTE,1016
DIRE01,DIR. GLP ENVASADO,
DIRE02,DIRETOR DE GLP ENVASADO,
DIRE03,DIRETOR DE GLP ENVASADO,
1028,DIRETOR PRESIDENTE,
AVG-1,DIR. GERAL,
AVG-2,DIRETOR TECNICO DE ESTAB E PRÁTICA DE SAÚDE DO TRABALHO,
DIRI02,DIRETOR INDUSTRIAL,
DIRE01,DIRETOR DE GESTÃO DE RISCOS,
DIRE02,DIRETOR DE GESTÃO DE RISCOS,
DIRE03,DIRETOR DE GESTÃO DE RISCOS,
DIRE01,"DIRETORA TÉCNICO-COMERCIAL,",
CDS-1,PROCURADOR GERAL DO ESTADO,
DIRE01,DIRETOR EXECUTIVO DE SERVIÇOS,
PREE01,DIRETOR JURÍDICO E DE GOVERNANÇA E GESTÃO,
DIRE01,ADMINISTRADOR,
CDS-1,SECRETÁRIO CHEFE,
DIRE01,DIRETOR DE ADMINISTRAÇÃO E PESSOAS - DAP,
CC1,DIR. PRESIDENTE,
DIRI02,VICE-PRESIDENTE,
DIRE01,DIRETOR DE SOLUÇÕES JURÍDICAS E ADMINISTRATIVAS,
DIRE02,DIRETOR DE SOLUÇÕES JURÍDICAS E ADMINISTRATIVAS,
PERITO,PERITO-GERAL DO IGP,NA
PRE,PRESIDENTE DO COLEGIADO SUPERIOR DE SEGURANCA PUBLICA E PERI,NA
DIRE01,DIRETOR DE ESTUDOS ECONÔMICO-ENERGÉTICOS E AMBIENTAIS,
DIRE02,DIRETOR DE ESTUDOS ECONÔMICO-ENERGÉTICOS E AMBIENTAIS,
DIRE04,DIRETOR DE ESTUDOS ECONÔMICO-ENERGÉTICOS E AMBIENTAIS,
DIRI03,"DIRETOR INTERINO DE ESTUDOS DO PETRÓLEO, GÁS E BIOCOMBUSTÍVE",
CDS-2,SECRETARIO EXECUTIVO DA GESTAO PEDAGOGICA,
DIRE01,DIRETORA DE OPERAÇÕES,
DIRE02,DIRETORA DE OPERAÇÕES,
DIRE01,DIRETOR DE ATENÇÃO À SAÚDE,
CAS-2,COORD. PROG.E CONTROLE,
1042,DIRETOR GERAL,
DAS,CHEFE,1016
DIRE03,DIRETOR,
DIRI01,DIRETOR JURIDICO,
DIRE01,DIRETOR COMERCIAL ALTO VAREJO,
1468,DELEGADO CHEFE DE POLICIA CIVIL,
DIRE01,DIR. DE INFRA ESTRUT. E OPERAÇ,
1643,DIRETOR PRESIDENTE,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DA SEJUSC,
DIRE01,DIRETOR EXERCUTIVO,
DIRE01,DIRETOR DE TECNOLOGIA,
DIRE02,DIRETOR DE TECNOLOGIA,
DIRE03,VICE-PRESIDENTE DE DESENVOLVIMENTO DE NEGÓCIOS E TECNOLOGIA,
DIRE01,DIRETOR EXECUTIVO DE MERCADO CORPORATIVO E LUBRIFICANTES,
DIRE01,DIRETOR DE TECNOLOGIA E OPERAÇÕES - DIT,
PREE02,PRESIDENTE DA TRANSPETRO,
DIRE01,DIRETOR-EXECUTIVO DE PESQUISA E INOVAÇÃO - DEPI,
DIRE01,DIR. ADMINISTRATIVO-FINANCEIRA,
SEC,SECRETÁRIO EXECUTIVO DE ESPORTE E LAZER,NA
DIRE01,DIRETOR ADMINISTRATIVO,
BASICA,REITOR,
DIRE02,DIRETOR EXECUTIVO DE GOVERNANÇA E RISCO,
DIRE01,DIRETORIA DE GESTÃO ESTRATÉGICA DE TI FINANÇAS,
SECRET,SECRETARIO EXTRAORDINARIO DE ESTADO,
SUPERI,SUPERINTENDENTE ESTADUAL DE GESTÃO DE PESSOAS,
DIRE01,DIRETORA DE GARANTIAS,
AVG-2,DIR. TÉC. DE CIÊNC. E TECNOLOGIA  MÉDICA E CORREL,
VICE01,VICE-PRESIDENTE DE GESTÃO ESTRATÉGICA DE PESSOAS,
DIRE01,DIRETOR DE GESTÃO ADMINISTRATIVA,
PREE03,PRESIDENTE,
DIRE01,"DIRETORA DE ESTUDOS DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVE",
DIRE02,"DIRETORA DE ESTUDOS DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVE",
NES,CARGO ESP.TRANS.GOVERNAMENTAL,57
SPROC,SUBPROCURADORA-GERAL DO ESTADO DO AMAZONAS,
DIR,DIRETOR DE PLANEJAMENTO TURISTICO,NA
DIR,DIRETOR - PRESIDENTE DA COMPANHIA DE GÁS DO AMAZONAS - CIGÁS,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DE INTELIGÊNCIA DA SSP AM,
DIRE01,DIRETOR DE GESTÃO DE CONTRATOS,
DIRE02,DIRETOR DE GESTÃO DE CONTRATOS,
SEC,SEC. EXECUT. ADJ.DO SUBCOMANDO AÇÕES DE DEF. CIVIL BOMBEIROS,
DIRE02,DIRETOR DE GESTÃO ESTRATÉGIA DE PESSOAS,
DIRI01,VICE-PRESIDENTE DE GESTÃO ESTRATÉGICA DE PESSOAS,
DIRI02,DIRETOR,
DIRE01,DIRETOR DE OPERAÇÃO E EXPANSÃO,
COMAND,COMANDANTE GERAL,
DIRI01,DIRETOR FINANCEIRO,
AVG-2,DIR. TEC. ESTAB. E PRAT. DE SAUDE DO TRABALHO,
DIRETO,DIRETORA-PRESIDENTE,
SUPERI,SUPERINT ESTADUAL DE PATRIMÔNIO E REGULARIZAÇÃO FUNDIÁRIA,
DIRE01,DIRETOR DE ORÇAMENTO E FINANÇAS,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DO FPS,
DIRE01,DIRETOR DE OPERAÇÃO,
DIRE03,DIRETOR DE OPERAÇÃO,
DIRE04,DIRETOR DE OPERAÇÃO,
DIRI02,"DIRETOR DE ENGENHARIA, INTERINO",
DIRE01,DIRETOR DE GESTÃO CORPORATIVO,
DIRE01,DIRETOR REVITALIZAÇÃO DAS BACIAS HIDROGRÁFICAS,
CORREG,CORREGEDORA-GERAL DA SSP,
CDS-2,SECRETARIO EXECUTIVO CHEFE DA CASA CIVIL DO GOVERNADOR,
SEC,SECRETÁRIO EXECUTIVO CHEFE DA CASA CIVIL DO GOVERNADOR,NA
AVG-2,DIR.  ADM. FINC. E DE INTEGRAÇÃO REGIONAL,
CCS-2,VICE-PRESIDENTE,
DIRE01,DIRETORA DE GOVERNANÇA CORPORATIVA E JURÍDICA - DGJ,
DS-1,DIR. SUPERINTENDENTE,
POL,DELEGADO GERAL DA POLICIA CIVIL,
DIRE01,DIRETOR-TÉCNICO OPERACIONAL,
CDS-2,SECRETARIO EXECUTIVO DO TURISMO,
DIRE01,VICE-PRESIDENTE DE AGRONEGÓCIOS,
DIRE02,VICE-PRESIDENTE DE AGRONEGÓCIOS,
DIRE01,"DIRETOR FINANCEIRO, DE GESTÃO E DE RELAÇÃO COM INVESTIDORES",
PCL,PRESIDENTE DA CÂMARA LEGISLATIVA,
2,VICE-GOVERNADOR DO ESTADO,
NAN,DIR. PRESIDENTE,
BASICA,PRESIDENTE DA PROLIQUIDAÇÃO,
DIRE01,DIRETOR JURÍDICO,
COR,CORREGEDOR GERAL,NA
1,PRESIDENTE DA REPUBLICA,1
DIRE01,DIRETOR DE ENGENHARIA & TECNOLOGIA MARÍTIMA E TERRESTRE,
GESTOR,GESTOR DO PROGR. EST. DE PROTEÇÃO E ORIENTAÇÃO DO CONSUMIDOR,
SEC,"SECRETÁRIA DE ESTADO  DA JUVENTUDE, ESPORTE E LAZER",
SEC,SECRETÁRIA EXECUTIVA ADJUNTA DA SRMM,
SE-4,DIR. ECON. E FOMENTO,
DIRE01,DIRETOR DE ADMINISTRAÇÃO E RECURSOS HUMANOS,
BASICA,PRESIDENTE,
DIRE01,DIRETOR DE COMÉRCIO EXTERIOR E CORPORATE BANK,
DIRE01,DIRETOR DE NEGÓCIOS E SUSTENTABILIDADE,
SDR,"SECRETÁRIO DE ESTADO, RESPONDENDO",NA
SEC,SEC.EXECUT. ADJUNTO DE ADM. DA CONTROL. GERAL DO EST. DO AM,
DIRE01,DIRETORIA DE NEGÓCIOS,
DIRE02,DIRETORIA DE NEGÓCIOS,
CDS-3,DIRETOR DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL,
DEFENS,DEFENSOR PUBLICO-GERAL DO ESTADO,
DIRE01,DIRETORA DE ENGENHARIA,
SEC,SECRETÁRIO EXECUTIVO DE PROJ. ESPEC. DO GOV. DA CASA CIVIL,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DE ENGENHARIA DA SEINFRA,
CDS-2,SECRETARIO EXECUTIVO DA PESCA,
SEC,SECRETARIO EXECUTIVO DE GESTAO DA REDE DE UNIDADES DE SAUDE,NA
DS-2,DIR. ADM. E FINANCEIRO,
CDS-2,CORREGEDOR GERAL,
DIRE01,DIRETOR DE INFRAESTRUTURA E OPERAÇÕES,
SEC,SECRETÁRIO DE ESTADO DE SEGURANÇA PÚBLICA,
DIRE01,DIRETOR DE OPERAÇÃO E COMERCIALIZAÇÃO,
DIRE02,DIRETOR DE OPERAÇÃO E COMERCIALIZAÇÃO,
DIRE04,DIRETOR DE OPERAÇÃO E COMERCIALIZAÇÃO,
DIRE01,DIR. ENGENHARIA,
DIRE01,VICE-PRESIDENTE DE NEGÓCIOS DE ATACADO,
SEMA,SECRETÁRIO DE ESTADO,
PRES,PRESIDENTE DO TRIBUNAL,
PREE02,DIRETOR ADMINISTRATIVO FINANCEIRO,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DA SECOM,
SDE,SECRETÁRIO DE ESTADO,
SEPLAN,SECRETÁRIO DE ESTADO,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DO INTERIOR DA SEDUC,
DIRE01,DIRETOR EXECUTIVO  DE DESENVOLVIMENTO DA PRODUÇÃO,
PREI02,PREIDENTE INTERINO,
DIRE02,DIRETOR DE OPERAÇÃO,
SECRET,SECRETARIO EXECUTIVO DE COMUNICACAO,
DIRE01,DIRETOR DE AEROPORTOS,
DIRE02,DIRETOR DE OPERAÇÕES E DE SERVIÇOS TÉCNICOS,
DIR,DIRETOR-PRESIDENTE DA EMPRESA EST. DE TURISMO - AMAZONASTUR,
SEC,"SEC. DE EST. DE PLANEJ. DESENV., CIÊNCIA, TECNOL. E INOVAÇÃO",
DIRE02,VICE-PRESIDENTE DE GOVERNO,
DIRE03,VICE-PRESIDENTE DE GOVERNO,
SEC,SECRETÁRIO CHEFE DO GABINETE PESSOAL DO GOVERNADOR,
DIRE02,DIRETOR DE ADMINISTRAÇÃO DE FUNDOS E GESTÃO DA EMPRESA,
DIRE02,DIRETOR DE CONTROLADORIA,
DIRETO,DIRETOR DE OPERAÇÃO E MANUTENÇÃO,
NAN,DIR. OPERAÇÃO E MANUTENÇÃO,
CDS-2,SECRETÁRIO EXECUTIVO,
SERIN,SECRETÁRIO DE ESTADO,
DIRE01,DIRETOR DE GERAÇÃO TÉRMICA,
DIRE04,DIRETOR DE GERAÇÃO TÉRMICA,
DIRI03,DIRETOR DE OPERAÇÃO,
NES,SECRETARIO (CNE),70
SECRET,SECRETARIO REGIONAL DE GOVERNO,
DIR,DIRETOR-PRESID. DO INSTIT. DE PESOS E MEDIDAS DO EST. DO AM,
DIRE02,DIRETOR ADMINISTRATIVO,
BAHIAI,PRESIDENTE,
DIRETO,DIRETOR ADMINISTRATIVO E FINANCEIRO,
NAN,DIR. ADM. E FINANCEIRO,
DIRE01,"DIRETOR FINANCEIRO, DE GESTÃO E DE RELAÇÕES COM INVESTIDORES",
DIRI04,VICE-PRESIDENTE,
DIRE03,DIRETOR ADMINISTRATIVO,
VICE01,VICE-PRESIDENTE ADMINISTRATIVA,
CGE,AUDITOR,1
DIRE01,DIR. DE OPERACOES E ABASTECIME,
DAA-20,DIR. DIV. CONTABILIDADE E FINANÇAS,
ASSESS,ASSESSOR ESPECIAL,
DIRE03,DIRETOR COMERCIAL,
DIRETO,DIRETORA GERAL,
AVG-1,DIRETOR GERAL,
DIRE01,DIR. ADMINISTRATIVO E FINANCEIRO,
DIRE02,DIRETOR TÉCNICO E COMERCIAL DA COMPANHIA DOCAS DO RIO GRAND,
DIRE01,PRESIDENTE,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DA SRMM,
DIRE01,DIRETOR DE REGULAÇÃO E COMERCIALIZAÇÃO,
DIRI02,DIRETOR DE ENGENHARIA,
DIRE01,DIRETOR DE TRANSMISSÃO,
SEC,SECRETÁRIO DE ESTADO DE PRODUÇÃO RURAL,
CAS-2,DIR. PLANEJAMENTO E TRANSPORTES,
DIR,DIRETOR-PRES. DO CENTRO DE EDUC. TECNOLÓGICA DO AM - CETAM,
DIRE01,DIRETOR GESTÃO DE PESSOAS,
DIRE02,DIRETOR GESTÃO DE PESSOAS,
CDS-2,SUBCOMANDANTE GERAL,
PCM,PRESIDENTE DE CAMARA MUNICIPAL,
DIRE01,DIRETOR DE SEGURANÇA INSTITUCIONAL,
DIRE02,DIRETOR DE SEGURANÇA INSTITUCIONAL,
DIRE01,DIRETOR DE OPERAÇÃO DO INTERIOR,
DIRE02,DIRETOR DE GERAÇÃO DISTRIBUIDA,
VICE01,VICE-PRESIDENTE DE LOGÍSTICA,
VICE02,VICE-PRESIDENTE DE NEGÓCIOS PÚBLICOS,
DIRE03,DIRETOR-EXECUTIVO,
DIRE01,DIRETOR NA DIRETORIA DE PESSOAS E LOGÍSTICA,
DIRI01,DIRETOR DE GEOLOGIA E RECURSOS MINERAIS,
PREI03,PRESIDENTE,
DIRI02,DIRETOR FINANCEIRO INTERINO,
PREE01,DIRETOR ADMINISTRATIVO  E FINANCEIRO,
PREE02,DIRETOR ADMINISTRATIVO-FINANCEIRO,
CDS-2,SECRETÁRIO EXECUTIVO DE ESPORTE E LAZER,
1041,DIRETOR PRESIDENTE,
DIRE01,"DIRETOR DE ESTUDOS DO PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS",
DIRE02,"DIRETOR DE ESTUDOS DO PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS",
PREE01,PRESIDENTE DA PETROBRAS,
DIRE01,DIRETOR DE ATIVOS DE TERCEIROS,
CH.CC,CH.DA CASA CIVIL,
DIRE01,DIRETOR ADMINIST FINAN. E DE RELAÇÕES COM INVESTIDORES,
PREE01,PRESIDENTE DA NAV BRASIL,
DIRE01,DIRETOR DE NOVAS AQUISIÇÕES,
1,GOVERNADOR DO ESTADO,
DIRE01,DIRETOR GERAL,
SEC,SECRETÁRIO EXECUTIVO DA RECEITA,
